Id,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,OpenPorchSF,SalePrice
1,65.0,8450,Reg,CollgCr,2Story,7,5,2003,2003,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,706.0,150.0,856.0,5,856,1710,1.0,2,1,3,3.0,8,0,,Attchd,2003.0,2.0,2.0,548.0,61,208500.0
2,80.0,9600,Reg,Veenker,1Story,6,8,1976,1976,MetalSd,MetalSd,2,CBlock,3.0,Gd,ALQ,978.0,284.0,1262.0,5,1262,1262,0.0,2,0,3,2.0,6,1,3.0,Attchd,1976.0,2.0,2.0,460.0,0,181500.0
3,68.0,11250,IR1,CollgCr,2Story,7,5,2001,2002,VinylSd,VinylSd,3,PConc,3.0,Mn,GLQ,486.0,434.0,920.0,5,920,1786,1.0,2,1,3,3.0,6,1,3.0,Attchd,2001.0,2.0,2.0,608.0,42,223500.0
4,60.0,9550,IR1,Crawfor,2Story,7,5,1915,1970,Wd Sdng,Wd Shng,2,BrkTil,2.0,No,ALQ,216.0,540.0,756.0,4,961,1717,1.0,1,0,3,3.0,7,1,4.0,Detchd,1998.0,1.0,3.0,642.0,35,140000.0
5,84.0,14260,IR1,NoRidge,2Story,8,5,2000,2000,VinylSd,VinylSd,3,PConc,3.0,Av,GLQ,655.0,490.0,1145.0,5,1145,2198,1.0,2,1,4,3.0,9,1,3.0,Attchd,2000.0,2.0,3.0,836.0,84,250000.0
6,85.0,14115,IR1,Mitchel,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,2,Wood,3.0,No,GLQ,732.0,64.0,796.0,5,796,1362,1.0,1,1,1,2.0,5,0,,Attchd,1993.0,1.0,2.0,480.0,30,143000.0
7,75.0,10084,Reg,Somerst,1Story,8,5,2004,2005,VinylSd,VinylSd,3,PConc,4.0,Av,GLQ,1369.0,317.0,1686.0,5,1694,1694,1.0,2,0,3,3.0,7,1,4.0,Attchd,2004.0,2.0,2.0,636.0,57,307000.0
8,,10382,IR1,NWAmes,2Story,7,6,1973,1973,HdBoard,HdBoard,2,CBlock,3.0,Mn,ALQ,859.0,216.0,1107.0,5,1107,2090,1.0,2,1,3,2.0,7,2,3.0,Attchd,1973.0,2.0,2.0,484.0,204,200000.0
9,51.0,6120,Reg,OldTown,1.5Fin,7,5,1931,1950,BrkFace,Wd Shng,2,BrkTil,2.0,No,Unf,0.0,952.0,952.0,4,1022,1774,0.0,2,0,2,2.0,8,2,3.0,Detchd,1931.0,1.0,2.0,468.0,0,129900.0
10,50.0,7420,Reg,BrkSide,1.5Unf,5,6,1939,1950,MetalSd,MetalSd,2,BrkTil,2.0,No,GLQ,851.0,140.0,991.0,5,1077,1077,1.0,1,0,2,2.0,5,2,3.0,Attchd,1939.0,2.0,1.0,205.0,4,118000.0
11,70.0,11200,Reg,Sawyer,1Story,5,5,1965,1965,HdBoard,HdBoard,2,CBlock,2.0,No,Rec,906.0,134.0,1040.0,5,1040,1040,1.0,1,0,3,2.0,5,0,,Detchd,1965.0,1.0,1.0,384.0,0,129500.0
